message_id,message,true_intent,split
0,I am still waiting on my card?,card_arrival,train
1,What can I do if my card still hasn't arrived after 2 weeks?,card_arrival,train
2,I have been waiting over a week. Is the card still coming?,card_arrival,train
3,Can I track my card while it is in the process of delivery?,card_arrival,train
4,"How do I know if I will get my card, or if it is lost?",card_arrival,train
5,When did you send me my new card?,card_arrival,train
6,Do you have info about the card on delivery?,card_arrival,train
7,What do I do if I still have not received my new card?,card_arrival,train
8,Does the package with my card have tracking?,card_arrival,train
9,I ordered my card but it still isn't here,card_arrival,train
10,Why has my new card still not come?,card_arrival,train
11,"I still haven't received my card after two weeks, is it lost?",card_arrival,train
12,Can you track my card for me?,card_arrival,train
13,Is there a way to track the delivery of my card?,card_arrival,train
14,It's been a week since I ordered my card and it's not here. Please help?,card_arrival,train
15,Will I be able to track the card that was sent to me?,card_arrival,train
16,I don't have my card in 1 week.  Should I be worried?,card_arrival,train
17,How do I know when my new card is going to arrive?,card_arrival,train
18,My new card has not been delivered to my home yet. What is going on?,card_arrival,train
19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,train
20,"On the card that is coming, what's the tracking info?",card_arrival,train
21,What is the status of my card's delivery?,card_arrival,train
22,Have you sent out my card yet?,card_arrival,train
23,My card isn't here yet.,card_arrival,train
24,where is my new card?,card_arrival,train
25,It's been a week since you sent my card and I still don't have it.,card_arrival,train
26,How do I track the card you sent me?,card_arrival,train
27,When will I recieve my new card?,card_arrival,train
28,When will I get my new card?,card_arrival,train
29,What is the expected delivery date for my card?,card_arrival,train
30,Is there a tracking number for the card you sent me?,card_arrival,train
31,I would like to track the card you sent to me.,card_arrival,train
32,Has my card been lost in delivery?,card_arrival,train
33,My new card hasn't came in.,card_arrival,train
34,Where is the card I ordered 2 weeks ago?,card_arrival,train
35,Can I get an update on my replacement card?,card_arrival,train
36,How long does it take for a new card to ship?,card_arrival,train
37,What's the tracking on the card you sent?,card_arrival,train
38,I haven't received my card and am worried it is lost.,card_arrival,train
39,My card still hasn't been delivered,card_arrival,train
40,I need to find out where the card is that I ordered.,card_arrival,train
41,Where is my credit card that was to be mailed?,card_arrival,train
42,I ordered my card but it hasn't been delivered yet,card_arrival,train
43,Am I able to track the card that was just sent to me?,card_arrival,train
44,Can you tell me why I haven't received my new card?,card_arrival,train
45,I'm still waiting for my new card.,card_arrival,train
46,Is my card lost? I am still waiting for it to be delivered.,card_arrival,train
47,Should I keep waiting for my card to be delivered?,card_arrival,train
48,Can I track when my card will be delivered?,card_arrival,train
49,How can I check on the status of my new card?,card_arrival,train
50,"A card has been sent to me, how do I track it?",card_arrival,train
51,Is there a way I can get my card expedited?,card_arrival,train
52,What can I do to track the card you sent me?,card_arrival,train
53,why hasnt my card come in yet?,card_arrival,train
54,How can I periodically check the delivery of the card you sent?,card_arrival,train
55,What's the reason my new card hasn't come?,card_arrival,train
56,How long does it take for me to get my new card?,card_arrival,train
57,I don't have my card after 1 week. What are my next steps?,card_arrival,train
58,I know I'm getting a new card but would like know when I can expect to receive it.,card_arrival,train
59,I want to find out what happened to my new card?,card_arrival,train
60,Was there a way for me to get tracking for that?,card_arrival,train
61,I am still waiting for my card.,card_arrival,train
62,My card hasn't arrived.,card_arrival,train
63,Can I track the card you sent to me?,card_arrival,train
64,I haven't gotten my new card.,card_arrival,train
65,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival,train
66,Will I have to wait much longer for my new card to arrive?,card_arrival,train
